난이도,분류,문제번호,제목,사용자,정답,메모리,시간,언어,코드길이,제출날짜
Silver III,조합론/수학/확률론,13251,조약돌 꺼내기,Platinum V,런타임 에러 (NameError),,,Python 3,497,2022-04-16 17:21
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,2178,미로 탐색,Silver II,틀렸습니다,,,Java 11,1747,2022-04-16 17:20
Platinum V,자료 구조/분리 집합/오프라인 쿼리,15586,MooTube (Gold),Silver II,틀렸습니다,,,Python 3,1342,2022-04-16 17:20
Silver I,수학/정수론/소수 판정/에라토스테네스의 체,9020,골드바흐의 추측,Bronze V,시간 초과,,,Python 3,289,2022-04-16 17:20
Silver V,수학/정수론,1037,약수,Platinum V,맞았습니다!!,17812,204,Java 11,315,2022-04-16 17:20
Gold V,깊이 우선 탐색/플로이드–와샬/그래프 이론/그래프 탐색,2617,구슬 찾기,Gold III,틀렸습니다,,,Python 3,433,2022-04-16 17:20
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,UNRANK,컴파일 에러,,,Python 3,22,2022-04-16 17:20
Bronze I,구현/수학/물리학,15830,싱크홀,Silver I,150점,30840,76,Python 3,83,2022-04-16 17:20
Silver V,구현/문자열,1316,그룹 단어 체커,Gold IV,틀렸습니다,,,C++17,526,2022-04-16 17:20
Silver V,그리디 알고리즘/수학,1789,수들의 합,Not ratable,틀렸습니다,,,Java 11,458,2022-04-16 17:20
Platinum V,자료 구조/분할 정복/세그먼트 트리/스택,1725,히스토그램,Platinum IV,틀렸습니다,,,C++17,739,2022-04-16 17:20
Bronze V,구현,10172,개,UNRANK,틀렸습니다,,,C11,133,2022-04-16 17:20
Bronze III,사칙연산/수학,2884,알람 시계,UNRANK,틀렸습니다,,,C++17,392,2022-04-16 17:20
Bronze IV,사칙연산/수학,2480,주사위 세개,Bronze I,맞았습니다!!,1112,0,C99,519,2022-04-16 17:20
Silver V,그리디 알고리즘/정렬,16435,스네이크버드,Silver V,맞았습니다!!,30840,68,Python 3,203,2022-04-16 17:20
Silver I,수학/정수론/소수 판정/에라토스테네스의 체,9020,골드바흐의 추측,Bronze V,컴파일 에러,,,Python 3,290,2022-04-16 17:20
Gold IV,이분 탐색/그리디 알고리즘/매개 변수 탐색/정렬,24041,성싶당 밀키트,Ruby V,맞았습니다!!,10924,444,C++11,1001,2022-04-16 17:20
Bronze V,사칙연산/구현/수학,10430,나머지,UNRANK,맞았습니다!!,1112,0,C++17,232,2022-04-16 17:20
Bronze I,구현/수학,1110,더하기 사이클,UNRANK,틀렸습니다,,,Python 3,149,2022-04-16 17:20
Silver III,조합론/수학/확률론,13251,조약돌 꺼내기,Platinum V,런타임 에러 (OverflowError),,,Python 3,496,2022-04-16 17:20
Bronze V,임의 정밀도 / 큰 수 연산/사칙연산/수학,1271,엄청난 부자2,Silver II,컴파일 에러,,,Java 11,466,2022-04-16 17:20
Silver II,브루트포스 알고리즘/구현,2615,오목,Gold IV,런타임 에러 (ArrayIndexOutOfBounds),,,Java 8,2391,2022-04-16 17:20
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,UNRANK,틀렸습니다,,,Java 11,143,2022-04-16 17:20
Silver V,브루트포스 알고리즘/구현,7568,덩치,Bronze IV,틀렸습니다,,,C99 (Clang),369,2022-04-16 17:20
Bronze I,구현/정렬,2750,수 정렬하기,Silver V,런타임 에러 (NameError),,,Python 3,295,2022-04-16 17:20
Silver III,조합론/수학/확률론,13251,조약돌 꺼내기,Platinum V,컴파일 에러,,,C++17,496,2022-04-16 17:20
Gold III,다이나믹 프로그래밍,2560,짚신벌레,Platinum III,맞았습니다!!,5928,12,C++17,414,2022-04-16 17:20
Gold III,그래프 이론/최소 스패닝 트리,23743,방탈출,Gold I,맞았습니다!!,166916,1624,PyPy3,805,2022-04-16 17:20
Gold V,0-1 너비 우선 탐색/너비 우선 탐색/다익스트라/그래프 이론/그래프 탐색,13549,숨바꼭질 3,Gold II,틀렸습니다,,,Python 3,877,2022-04-16 17:20
Bronze V,구현,2557,Hello World,Gold III,맞았습니다!!,30840,64,Python 3,21,2022-04-16 17:20
Bronze III,사칙연산/구현/수학,10951,A+B - 4,Silver II,맞았습니다!!,2020,0,C++17,197,2022-04-16 17:20
Bronze IV,사칙연산/수학,2480,주사위 세개,Bronze I,컴파일 에러,,,C99,519,2022-04-16 17:20
Silver V,정렬,2751,수 정렬하기 2,UNRANK,런타임 에러 (RecursionError),,,Python 3,655,2022-04-16 17:20
Gold IV,재귀,2448,별 찍기 - 11,Gold I,틀렸습니다,,,Java 8,640,2022-04-16 17:20
Bronze II,구현,20299,3대 측정,Platinum V,맞았습니다!!,8292,180,C++17,598,2022-04-16 17:20
Bronze V,임의 정밀도 / 큰 수 연산/사칙연산/수학,1271,엄청난 부자2,Silver II,맞았습니다!!,14564,128,Java 11,458,2022-04-16 17:20
Bronze V,구현,10172,개,UNRANK,틀렸습니다,,,Python 3,80,2022-04-16 17:20
Bronze V,구현,10172,개,Not ratable,틀렸습니다,,,Python 3,62,2022-04-16 17:20
Gold I,자료 구조/스택,3015,오아시스 재결합,Diamond III,틀렸습니다,,,C++17,719,2022-04-16 17:20
Bronze III,브루트포스 알고리즘/수학/정수론,5618,공약수,UNRANK,틀렸습니다,,,Java 8,838,2022-04-16 17:20
Bronze III,사칙연산/구현/수학,10951,A+B - 4,Silver II,틀렸습니다,,,C++17,220,2022-04-16 17:20
Gold II,다이나믹 프로그래밍/수학/확률론,19847,여우 신탁,Gold III,틀렸습니다,,,C++17,725,2022-04-16 17:19
Bronze V,임의 정밀도 / 큰 수 연산/사칙연산/수학,1271,엄청난 부자2,Silver II,런타임 에러 (Arithmetic),,,Java 11,458,2022-04-16 17:19
Gold IV,플로이드–와샬/그래프 이론,1956,운동,Platinum III,틀렸습니다,,,C++17,794,2022-04-16 17:19
Bronze I,구현,2669,직사각형 네개의 합집합의 면적 구하기,Silver III,맞았습니다!!,1112,0,C++17,534,2022-04-16 17:19
Silver I,수학/정수론/소수 판정/에라토스테네스의 체,9020,골드바흐의 추측,Bronze V,런타임 에러 (TypeError),,,Python 3,292,2022-04-16 17:19
Silver II,수학/정수론,3944,나머지 계산,UNRANK,맞았습니다!!,14348,480,C++17,426,2022-04-16 17:19
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,2178,미로 탐색,Silver II,메모리 초과,,,Java 11,2357,2022-04-16 17:19
Silver II,그리디 알고리즘/수학/파싱/문자열,1541,잃어버린 괄호,UNRANK,런타임 에러 (TypeError),,,Python 3,92,2022-04-16 17:19
Gold II,구현/시뮬레이션,17837,새로운 게임 2,UNRANK,맞았습니다!!,2028,0,C++17,2644,2022-04-16 17:19
Silver I,수학/정수론/소수 판정/에라토스테네스의 체,9020,골드바흐의 추측,Silver IV,시간 초과,,,Python 3,1172,2022-04-16 17:19
Gold IV,너비 우선 탐색/브루트포스 알고리즘/그래프 이론/그래프 탐색,17142,연구소 3,Silver I,맞았습니다!!,47092,296,Java 11,3331,2022-04-16 17:19
Bronze III,브루트포스 알고리즘/수학/정수론,5618,공약수,UNRANK,틀렸습니다,,,Java 8,838,2022-04-16 17:19
Gold V,너비 우선 탐색/그래프 이론/그래프 탐색,17836,공주님을 구해라!,Gold V,틀렸습니다,,,Java 8,2748,2022-04-16 17:19
Silver III,다이나믹 프로그래밍,11727,2×n 타일링 2,UNRANK,런타임 에러 (RecursionError),,,Python 3,266,2022-04-16 17:19
Bronze V,구현,10172,개,UNRANK,맞았습니다!!,30840,64,Python 3,102,2022-04-16 17:19
Bronze III,사칙연산/수학,2884,알람 시계,UNRANK,틀렸습니다,,,C99,315,2022-04-16 17:19
Bronze I,구현/수학/물리학,15830,싱크홀,Silver I,50점,30840,68,Python 3,101,2022-04-16 17:19
Bronze II,구현/문자열,10809,알파벳 찾기,Bronze I,맞았습니다!!,2024,0,C++17,401,2022-04-16 17:19
Bronze V,사칙연산/구현/수학,2558,A+B - 2,Bronze IV,맞았습니다!!,30840,68,Python 3,44,2022-04-16 17:19
Bronze IV,사칙연산/수학,2480,주사위 세개,Bronze I,틀렸습니다,,,C99,484,2022-04-16 17:19
Silver I,수학/정수론/소수 판정/에라토스테네스의 체,9020,골드바흐의 추측,Bronze V,컴파일 에러,,,Python 3,291,2022-04-16 17:19
Silver IV,자료 구조/스택,10828,스택,Bronze IV,시간 초과,,,Python 3,555,2022-04-16 17:19
Silver I,수학/정수론/소수 판정/에라토스테네스의 체,9020,골드바흐의 추측,Silver V,틀렸습니다,,,Python 3,458,2022-04-16 17:19
Bronze III,구현/수학,10871,X보다 작은 수,UNRANK,맞았습니다!!,2292,4,C++17,332,2022-04-16 17:19
Bronze III,기하학/수학/피타고라스 정리,4153,직각삼각형,UNRANK,틀렸습니다,,,C99,439,2022-04-16 17:19
Gold IV,구현/시뮬레이션/정렬,17140,이차원 배열과 연산,Platinum V,맞았습니다!!,2656,4,C++17,2355,2022-04-16 17:19
Bronze I,구현/문자열,1157,단어 공부,UNRANK,시간 초과,,,Python 3,213,2022-04-16 17:19
Bronze III,구현,2741,N 찍기,UNRANK,맞았습니다!!,30840,116,Python 3,105,2022-04-16 17:19
Bronze V,임의 정밀도 / 큰 수 연산/사칙연산/수학,2338,긴자리 계산,Silver III,맞았습니다!!,30840,68,Python 3,73,2022-04-16 17:19
Silver V,조합론/다이나믹 프로그래밍/수학,16395,파스칼의 삼각형,UNRANK,틀렸습니다,,,Python 3,188,2022-04-16 17:19
Silver II,브루트포스 알고리즘/구현,18111,마인크래프트,Silver III,맞았습니다!!,117484,788,PyPy3,493,2022-04-16 17:19
Platinum V,자료 구조/분할 정복/세그먼트 트리/스택,1725,히스토그램,Platinum IV,틀렸습니다,,,C++17,740,2022-04-16 17:19
Bronze IV,사칙연산/수학,2588,곱셈,Bronze II,틀렸습니다,,,Java 11,419,2022-04-16 17:19
Gold V,이분 탐색/두 포인터,2467,용액,Gold II,틀렸습니다,,,Python 3,1028,2022-04-16 17:19
Bronze V,구현,2557,Hello World,UNRANK,틀렸습니다,,,Go,76,2022-04-16 17:19
Bronze V,사칙연산/구현/수학,10869,사칙연산,UNRANK,틀렸습니다,,,Python 3,124,2022-04-16 17:19
Silver V,구현,14467,소가 길을 건너간 이유 1,Silver IV,맞았습니다!!,1112,0,C++17,305,2022-04-16 17:19
Silver V,조합론/다이나믹 프로그래밍/수학,1010,다리 놓기,Silver II,틀렸습니다,,,C++17,315,2022-04-16 17:19
Gold III,다익스트라/그래프 이론,11779,최소비용 구하기 2,Gold III,시간 초과,,,PyPy3,1041,2022-04-16 17:19
UNRANK,구현,15802,타노스,UNRANK,살아남지 못했다,30840,68,Python 3,8,2022-04-16 17:19
Gold III,너비 우선 탐색/그래프 이론/그래프 탐색,1726,로봇,Gold II,맞았습니다!!,2308,0,C++17,1418,2022-04-16 17:19
Silver V,그리디 알고리즘/정렬,16435,스네이크버드,Silver V,맞았습니다!!,30840,68,Python 3,226,2022-04-16 17:19
Gold V,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1245,농장 관리,UNRANK,맞았습니다!!,1172,0,C++17,1179,2022-04-16 17:19
Bronze IV,사칙연산/수학,2525,오븐 시계,Bronze V,틀렸습니다,,,C99,429,2022-04-16 17:19
Bronze III,사칙연산/구현/수학,2739,구구단,Silver III,틀렸습니다,,,Python 3,101,2022-04-16 17:19
Bronze I,구현/수학,1193,분수찾기,Silver V,틀렸습니다,,,C++17,315,2022-04-16 17:19
Bronze IV,사칙연산/수학,2588,곱셈,Bronze II,컴파일 에러,,,Java 11,503,2022-04-16 17:19
Gold IV,너비 우선 탐색/그래프 이론/그래프 탐색,3055,탈출,Gold I,틀렸습니다,,,Python 3,1629,2022-04-16 17:19
Bronze V,사칙연산/구현/수학,10869,사칙연산,UNRANK,맞았습니다!!,9600,124,node.js,252,2022-04-16 17:19
Bronze III,구현,10817,세 수,Silver III,맞았습니다!!,30840,68,Python 3,64,2022-04-16 17:19
Bronze V,사칙연산/구현/수학,2475,검증수,Bronze IV,맞았습니다!!,30840,68,Python 3,87,2022-04-16 17:19
Bronze III,사칙연산/구현/수학,11021,A+B - 7,UNRANK,맞았습니다!!,1112,0,C99,196,2022-04-16 17:18
Silver III,임의 정밀도 / 큰 수 연산/조합론/다이나믹 프로그래밍/수학,2407,조합,Gold III,틀렸습니다,,,Java 8,1041,2022-04-16 17:18
Bronze II,구현/문자열,1100,하얀 칸,UNRANK,맞았습니다!!,30840,68,Python 3,234,2022-04-16 17:18
Gold IV,구현/시뮬레이션,14499,주사위 굴리기,Platinum V,시간 초과,,,C++20,1738,2022-04-16 17:18
Silver V,다이나믹 프로그래밍/게임 이론/수학,9655,돌 게임,Gold IV,맞았습니다!!,69100,12,Swift,758,2022-04-16 17:18
Bronze V,임의 정밀도 / 큰 수 연산/사칙연산/수학,1271,엄청난 부자2,Silver II,컴파일 에러,,,Java 11,452,2022-04-16 17:18
Silver V,브루트포스 알고리즘,1018,체스판 다시 칠하기,Silver II,틀렸습니다,,,Python 3,808,2022-04-16 17:18
UNRANK,구현,15802,타노스,UNRANK,틀렸습니다,,,Python 3,8,2022-04-16 17:18
Silver V,정렬/문자열,1427,소트인사이드,UNRANK,맞았습니다!!,30840,68,Python 3,74,2022-04-16 17:18
Gold IV,백트래킹/구현,2239,스도쿠,Gold III,맞았습니다!!,143280,3780,PyPy3,1113,2022-04-16 17:18
Diamond V,값 / 좌표 압축/자료 구조/세그먼트 트리/스위핑,10167,금광,Ruby V,100점,2444,512,C++17,2659,2022-04-16 17:18
Silver IV,자료 구조/스택,10828,스택,Bronze IV,틀렸습니다,,,Python 3,568,2022-04-16 17:18
Bronze IV,사칙연산/구현/수학,1008,A/B,UNRANK,맞았습니다!!,17812,208,Java 11,235,2022-04-16 17:18
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,UNRANK,틀렸습니다,,,Java 11,160,2022-04-16 17:18
Silver III,정렬/두 포인터,3273,두 수의 합,Silver III,맞았습니다!!,2800,40,C++17,489,2022-04-16 17:18
Bronze I,구현/문자열,1296,팀 이름 정하기,Silver II,맞았습니다!!,113248,108,PyPy3,394,2022-04-16 17:18
Gold V,자료 구조/덱/구현/파싱/문자열,5430,AC,Bronze I,시간 초과,,,Python 3,616,2022-04-16 17:18
Silver V,그리디 알고리즘/수학,1789,수들의 합,Not ratable,런타임 에러 (InputMismatch),,,Java 11,455,2022-04-16 17:18
Bronze V,사칙연산/구현/수학,2475,검증수,Bronze IV,런타임 에러 (NameError),,,Python 3,81,2022-04-16 17:18
Gold III,조합론/깊이 우선 탐색/그래프 이론/그래프 탐색/수학/트리,21606,아침 산책,UNRANK,73점,77940,9524,Python 3,1270,2022-04-16 17:18
Bronze II,구현,5622,다이얼,Silver V,맞았습니다!!,30840,68,Python 3,183,2022-04-16 17:18
Gold IV,너비 우선 탐색/그래프 이론/그래프 탐색,3055,탈출,Gold I,출력 초과,,,Python 3,1677,2022-04-16 17:18
Bronze II,구현/수학,10870,피보나치 수 5,UNRANK,맞았습니다!!,1112,0,C11,334,2022-04-16 17:18
Bronze III,사칙연산/구현/수학,2739,구구단,UNRANK,맞았습니다!!,2020,0,C++17,228,2022-04-16 17:18
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,UNRANK,컴파일 에러,,,Java 11,159,2022-04-16 17:18
Silver V,수학/정수론,1037,약수,Silver I,틀렸습니다,,,C++17,676,2022-04-16 17:18
Gold IV,자료 구조/그리디 알고리즘/스택,2812,크게 만들기,Silver I,런타임 에러 (IntegerOverflow),,,C++17,729,2022-04-16 17:18
Bronze III,구현/문자열,11718,그대로 출력하기,UNRANK,틀렸습니다,,,C++17,158,2022-04-16 17:18
Bronze I,구현/수학/물리학,15830,싱크홀,Silver I,150점,30840,68,Python 3,85,2022-04-16 17:18
Bronze I,구현/수학,1193,분수찾기,Silver V,틀렸습니다,,,C++17,359,2022-04-16 17:18
Bronze V,사칙연산/구현/수학,10869,사칙연산,UNRANK,틀렸습니다,,,Python 3,124,2022-04-16 17:18
Bronze V,구현,10718,We love kriii,UNRANK,맞았습니다!!,9268,104,node.js,84,2022-04-16 17:18
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,UNRANK,시간 초과,,,PyPy3,969,2022-04-16 17:18
Silver I,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,2667,단지번호붙이기,Gold III,맞았습니다!!,1124,0,C11,937,2022-04-16 17:18
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색/구현,2573,빙산,Gold III,메모리 초과,,,PyPy3,1849,2022-04-16 17:18
Bronze II,사칙연산/구현/수학,2577,숫자의 개수,UNRANK,맞았습니다!!,69100,8,Swift,260,2022-04-16 17:18
Bronze V,구현,10171,고양이,UNRANK,틀렸습니다,,,Python 3,46,2022-04-16 17:18
Silver II,너비 우선 탐색/다익스트라/그래프 이론/그래프 탐색,18352,특정 거리의 도시 찾기,Gold I,메모리 초과,,,Python 3,916,2022-04-16 17:18
Silver II,브루트포스 알고리즘/구현,18111,마인크래프트,Silver III,시간 초과,,,Python 3,493,2022-04-16 17:18
Gold V,브루트포스 알고리즘/구현,14500,테트로미노,Gold II,맞았습니다!!,35988,2248,Python 3,2140,2022-04-16 17:18
Bronze V,구현,10171,고양이,UNRANK,컴파일 에러,,,Python 3,45,2022-04-16 17:17
Gold III,깊이 우선 탐색/그래프 이론/그래프 탐색,9466,텀 프로젝트,Silver II,메모리 초과,,,C++17,825,2022-04-16 17:17
Bronze II,사칙연산/수학,13458,시험 감독,Gold II,틀렸습니다,,,Java 8,585,2022-04-16 17:17
Bronze V,구현,2557,Hello World,UNRANK,컴파일 에러,,,Go,63,2022-04-16 17:17
Gold V,너비 우선 탐색/그래프 이론/그래프 탐색,17836,공주님을 구해라!,Gold V,틀렸습니다,,,Java 8,2748,2022-04-16 17:17
Bronze III,사칙연산/구현/수학,2739,구구단,UNRANK,맞았습니다!!,30840,68,Python 3,78,2022-04-16 17:17
Bronze IV,사칙연산/수학,2525,오븐 시계,Bronze V,틀렸습니다,,,C99,416,2022-04-16 17:17
Bronze V,구현,10171,고양이,UNRANK,컴파일 에러,,,C++17,45,2022-04-16 17:17
Diamond V,값 / 좌표 압축/자료 구조/세그먼트 트리/스위핑,10167,금광,Ruby V,100점,2472,592,C++17,2660,2022-04-16 17:17
Bronze IV,사칙연산/수학,2588,곱셈,UNRANK,맞았습니다!!,1112,0,C99,191,2022-04-16 17:17
Gold IV,백트래킹/비트마스킹/브루트포스 알고리즘,1062,가르침,Gold I,맞았습니다!!,2024,132,C++17,1480,2022-04-16 17:17
UNRANK,구현,15802,타노스,UNRANK,틀렸습니다,,,Python 3,53,2022-04-16 17:17
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,UNRANK,틀렸습니다,,,Java 11,150,2022-04-16 17:17
Bronze III,구현/수학,10872,팩토리얼,Silver V,맞았습니다!!,2020,0,C++17,169,2022-04-16 17:17
Bronze III,구현,2438,별 찍기 - 1,UNRANK,틀렸습니다,,,C99,179,2022-04-16 17:17
Silver V,조합론/다이나믹 프로그래밍/수학,16395,파스칼의 삼각형,UNRANK,틀렸습니다,,,Python 3,133,2022-04-16 17:17
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색/구현,2573,빙산,Gold III,시간 초과,,,Python 3,1849,2022-04-16 17:17
Bronze V,사칙연산/구현/수학,10869,사칙연산,UNRANK,컴파일 에러,,,C++17,65,2022-04-16 17:17
UNRANK,구현,15802,타노스,UNRANK,틀렸습니다,,,Python 3,53,2022-04-16 17:17
Gold V,다익스트라/그래프 이론,1916,최소비용 구하기,Gold I,틀렸습니다,,,Python 3,877,2022-04-16 17:17
Bronze IV,사칙연산/수학,2588,곱셈,Bronze I,컴파일 에러,,,Java 11,418,2022-04-16 17:17
Bronze V,임의 정밀도 / 큰 수 연산/사칙연산/수학,1271,엄청난 부자2,Silver II,컴파일 에러,,,Java 11,489,2022-04-16 17:17
